method,question_pairs,four_way_agreement,binary_stance_agreement,mean_total_variation,median_total_variation,mean_expected_answer_delta,scope,base_model,ideology
Chat Think,2976,0.4210349462365591,0.7096774193548387,0.6048730104895166,0.6639561348351551,-0.05376515481188228,method,,
Standard Chat,5952,0.4369959677419355,0.6725470430107527,0.5838137019925007,0.6431596235714379,0.07905219952618342,method,,
Chat Think,744,0.4206989247311828,0.7096774193548387,0.6035737533917012,0.6629403068299496,-0.043232883192698524,method+base_model,Qwen3-14B,
Chat Think,744,0.43413978494623656,0.6653225806451613,0.5962767655513471,0.6439933434633456,0.20937927709033896,method+base_model,Qwen3-32B,
Chat Think,744,0.3911290322580645,0.6639784946236559,0.6091605536935332,0.7117276387625098,-0.3377642980535751,method+base_model,Qwen3-4B,
Chat Think,744,0.4381720430107527,0.7997311827956989,0.610480969321485,0.6435632831265186,-0.043442715091594405,method+base_model,Qwen3-8B,
Standard Chat,744,0.49731182795698925,0.7016129032258065,0.5563624747719739,0.5785431280383682,-0.04271477267863264,method+base_model,Qwen3-14B,
Standard Chat,744,0.4314516129032258,0.6559139784946236,0.5955685034884654,0.6670263053263059,0.34971309803008627,method+base_model,Qwen3-32B,
Standard Chat,744,0.48118279569892475,0.7244623655913979,0.5359469230114705,0.5413700646580096,-0.15233506380580075,method+base_model,Qwen3-4B,
Standard Chat,744,0.5013440860215054,0.8024193548387096,0.5739866362549605,0.601307369273388,-0.10056815781695368,method+base_model,Qwen3-8B,
Standard Chat,744,0.521505376344086,0.7298387096774194,0.5027614350589853,0.49790959858983763,-0.23576483468178774,method+base_model,gemma-3-12b-it,
Standard Chat,744,0.24193548387096775,0.4731182795698925,0.7102385193460033,0.8759384713442246,0.34550074645286044,method+base_model,gemma-3-1b-it,
Standard Chat,744,0.5577956989247311,0.7056451612903226,0.45692285363402757,0.45733929878715046,-0.10174535756627054,method+base_model,gemma-3-27b-it,
Standard Chat,744,0.26344086021505375,0.5873655913978495,0.738722270374119,0.9966676748679584,0.5703319382759658,method+base_model,gemma-3-4b-it,
Chat Think,248,0.5201612903225806,0.7056451612903226,0.569060919480831,0.5887815647518382,0.06326618559204032,method+ideology,,authoritarian_left
Chat Think,248,0.5887096774193549,0.7298387096774194,0.5129090994883512,0.5167692501916373,0.26956810917822194,method+ideology,,authoritarian_right
Chat Think,1736,0.3692396313364055,0.6808755760368663,0.6205517225191634,0.6957051838161721,-0.10041611918243479,method+ideology,,base
Chat Think,248,0.23790322580645162,0.7258064516129032,0.7543603795803713,0.8327475051993081,-0.03149991750141229,method+ideology,,centrism
Chat Think,248,0.6209677419354839,0.8306451612903226,0.49291632687791254,0.43090971758037244,-0.055426901709761965,method+ideology,,libertarian_left
Chat Think,248,0.5,0.7580645161290323,0.5853673428125901,0.6256466718683029,-0.18817649902463185,method+ideology,,libertarian_right
Standard Chat,496,0.4939516129032258,0.6673387096774194,0.5620302609346316,0.6120378844553429,0.49916425444603607,method+ideology,,authoritarian_left
Standard Chat,496,0.5423387096774194,0.7076612903225806,0.5082670776987379,0.5420708177506759,0.5938922525390951,method+ideology,,authoritarian_right
Standard Chat,3472,0.39602534562211983,0.6471774193548387,0.6085703039110519,0.6778359434241685,-0.16233622623282573,method+ideology,,base
Standard Chat,496,0.3951612903225806,0.7237903225806451,0.6252681192297226,0.7016236605569295,0.258763902505704,method+ideology,,centrism
Standard Chat,496,0.5423387096774194,0.7237903225806451,0.5067281108850944,0.48657722465160197,0.3554141129897955,method+ideology,,libertarian_left
Standard Chat,496,0.49798387096774194,0.717741935483871,0.5434787277844579,0.6074314129824683,0.3777454554633505,method+ideology,,libertarian_right
Chat Think,62,0.6612903225806451,0.7580645161290323,0.5041534431326204,0.44061878870167953,0.15801619296669214,method+base_model+ideology,Qwen3-14B,authoritarian_left
Chat Think,62,0.5645161290322581,0.7258064516129032,0.5561800869934881,0.5894133267339317,0.3545785724944094,method+base_model+ideology,Qwen3-14B,authoritarian_right
Chat Think,434,0.35253456221198154,0.6658986175115207,0.6204104153159947,0.7379077144201573,-0.13311136984404104,method+base_model+ideology,Qwen3-14B,base
Chat Think,62,0.25806451612903225,0.7741935483870968,0.7565945510332251,0.8491367168715542,0.11980217938290452,method+base_model+ideology,Qwen3-14B,centrism
Chat Think,62,0.6612903225806451,0.8870967741935484,0.44827478101994994,0.35219188124352707,-0.043764400930332854,method+base_model+ideology,Qwen3-14B,libertarian_left
Chat Think,62,0.43548387096774194,0.7096774193548387,0.6348092713091681,0.6916453354209553,-0.17564755331776827,method+base_model+ideology,Qwen3-14B,libertarian_right
Chat Think,62,0.5,0.5645161290322581,0.5761579675830076,0.5771537342527053,0.6652449379784146,method+base_model+ideology,Qwen3-32B,authoritarian_left
