language,target,context_id,instr_idx,persona_class,persona_idx,model,ideology,config_id
english,asian people,4,8,,,google/gemma-3-12b-it,base,0
english,women,,1,,,google/gemma-3-12b-it,base,1
english,women,2,8,,,google/gemma-3-12b-it,base,2
english,asian people,,7,,,google/gemma-3-12b-it,base,3
english,women,2,6,,,google/gemma-3-12b-it,base,4
english,christians,,8,,,google/gemma-3-12b-it,base,5
english,men,4,5,,,google/gemma-3-12b-it,base,6
english,christians,,6,,,google/gemma-3-12b-it,base,7
english,jews,1,2,,,google/gemma-3-12b-it,base,8
english,women,,1,,,google/gemma-3-12b-it,base,9
english,christians,0,0,,,google/gemma-3-12b-it,base,10
english,jews,,4,,,google/gemma-3-12b-it,base,11
english,lgbtq+ people,4,6,,,google/gemma-3-12b-it,base,12
english,lgbtq+ people,0,1,,,google/gemma-3-12b-it,base,13
english,latinx people,,1,,,google/gemma-3-12b-it,base,14
english,latinx people,1,8,,,google/gemma-3-12b-it,base,15
english,asian people,,2,,,google/gemma-3-12b-it,base,16
english,christians,,4,,,google/gemma-3-12b-it,base,17
english,white people,3,5,,,google/gemma-3-12b-it,base,18
english,lgbtq+ people,,4,,,google/gemma-3-12b-it,base,19
english,asian people,,3,,,google/gemma-3-12b-it,base,20
english,white people,,8,,,google/gemma-3-12b-it,base,21
english,asian people,4,3,,,google/gemma-3-12b-it,base,22
english,white people,,0,,,google/gemma-3-12b-it,base,23
english,white people,1,7,,,google/gemma-3-12b-it,base,24
english,men,,5,,,google/gemma-3-12b-it,base,25
english,latinx people,,4,,,google/gemma-3-12b-it,base,26
english,white people,,1,,,google/gemma-3-12b-it,base,27
english,christians,1,7,,,google/gemma-3-12b-it,base,28
english,lgbtq+ people,4,3,,,google/gemma-3-12b-it,base,29
english,christians,,4,,,google/gemma-3-12b-it,base,30
english,lgbtq+ people,,5,,,google/gemma-3-12b-it,base,31
english,asian people,2,9,,,google/gemma-3-12b-it,base,32
english,black people,,1,,,google/gemma-3-12b-it,base,33
english,white people,,5,,,google/gemma-3-12b-it,base,34
english,lgbtq+ people,3,8,,,google/gemma-3-12b-it,base,35
english,black people,2,6,,,google/gemma-3-12b-it,base,36
english,latinx people,0,2,,,google/gemma-3-12b-it,base,37
english,latinx people,4,9,,,google/gemma-3-12b-it,base,38
english,lgbtq+ people,3,1,,,google/gemma-3-12b-it,base,39
english,men,4,2,,,google/gemma-3-12b-it,base,40
english,muslims,,2,,,google/gemma-3-12b-it,base,41
english,women,3,2,,,google/gemma-3-12b-it,base,42
english,latinx people,,3,,,google/gemma-3-12b-it,base,43
english,asian people,,3,,,google/gemma-3-12b-it,base,44
english,black people,,6,,,google/gemma-3-12b-it,base,45
english,lgbtq+ people,0,8,,,google/gemma-3-12b-it,base,46
english,asian people,,3,,,google/gemma-3-12b-it,base,47
english,latinx people,3,0,,,google/gemma-3-12b-it,base,48
english,women,,3,,,google/gemma-3-12b-it,base,49
english,asian people,1,3,,,google/gemma-3-12b-it,base,50
english,latinx people,,3,,,google/gemma-3-12b-it,base,51
english,white people,,7,,,google/gemma-3-12b-it,base,52
english,women,0,7,,,google/gemma-3-12b-it,base,53
english,men,,6,,,google/gemma-3-12b-it,base,54
english,lgbtq+ people,,4,,,google/gemma-3-12b-it,base,55
english,women,0,4,,,google/gemma-3-12b-it,base,56
english,muslims,,1,,,google/gemma-3-12b-it,base,57
english,jews,,0,,,google/gemma-3-12b-it,base,58
english,women,3,7,,,google/gemma-3-12b-it,base,59
english,men,,9,,,google/gemma-3-12b-it,base,60
english,latinx people,3,1,,,google/gemma-3-12b-it,base,61
english,asian people,3,2,,,google/gemma-3-12b-it,base,62
english,women,,0,,,google/gemma-3-12b-it,base,63
english,men,,5,,,google/gemma-3-12b-it,base,64
english,black people,1,2,,,google/gemma-3-12b-it,base,65
english,asian people,,0,,,google/gemma-3-12b-it,base,66
english,men,1,9,,,google/gemma-3-12b-it,base,67
english,lgbtq+ people,2,1,,,google/gemma-3-12b-it,base,68
english,muslims,,0,,,google/gemma-3-12b-it,base,69
english,muslims,1,5,,,google/gemma-3-12b-it,base,70
english,black people,,7,,,google/gemma-3-12b-it,base,71
english,christians,0,7,,,google/gemma-3-12b-it,base,72
english,muslims,1,1,,,google/gemma-3-12b-it,base,73
english,women,,6,,,google/gemma-3-12b-it,base,74
english,christians,,1,,,google/gemma-3-12b-it,base,75
english,lgbtq+ people,2,5,,,google/gemma-3-12b-it,base,76
english,christians,,3,,,google/gemma-3-12b-it,base,77
english,muslims,2,6,,,google/gemma-3-12b-it,base,78
english,jews,,3,,,google/gemma-3-12b-it,base,79
english,latinx people,,2,,,google/gemma-3-12b-it,base,80
english,women,3,0,,,google/gemma-3-12b-it,base,81
english,men,4,8,,,google/gemma-3-12b-it,base,82
english,christians,,3,,,google/gemma-3-12b-it,base,83
english,muslims,,5,,,google/gemma-3-12b-it,base,84
english,christians,,4,,,google/gemma-3-12b-it,base,85
english,lgbtq+ people,,9,,,google/gemma-3-12b-it,base,86
english,jews,,6,,,google/gemma-3-12b-it,base,87
english,white people,,8,,,google/gemma-3-12b-it,base,88
english,white people,2,7,,,google/gemma-3-12b-it,base,89
english,jews,,4,,,google/gemma-3-12b-it,base,90
english,muslims,4,4,,,google/gemma-3-12b-it,base,91
english,jews,,5,,,google/gemma-3-12b-it,base,92
english,jews,1,0,,,google/gemma-3-12b-it,base,93
english,black people,,3,,,google/gemma-3-12b-it,base,94
english,men,3,0,,,google/gemma-3-12b-it,base,95
english,men,,5,,,google/gemma-3-12b-it,base,96
english,asian people,,9,,,google/gemma-3-12b-it,base,97
english,muslims,0,8,,,google/gemma-3-12b-it,base,98
english,jews,,9,,,google/gemma-3-12b-it,base,99
english,latinx people,0,6,,,google/gemma-3-12b-it,base,100
english,black people,,6,,,google/gemma-3-12b-it,base,101
english,black people,,3,,,google/gemma-3-12b-it,base,102
english,women,3,0,,,google/gemma-3-12b-it,base,103
english,white people,3,2,,,google/gemma-3-12b-it,base,104
english,men,,6,,,google/gemma-3-12b-it,base,105
english,men,4,9,,,google/gemma-3-12b-it,base,106
english,men,,4,,,google/gemma-3-12b-it,base,107
english,asian people,,9,,,google/gemma-3-12b-it,base,108
english,white people,1,8,,,google/gemma-3-12b-it,base,109
english,black people,2,3,,,google/gemma-3-12b-it,base,110
english,white people,,1,,,google/gemma-3-12b-it,base,111
english,muslims,,9,,,google/gemma-3-12b-it,base,112
english,christians,0,1,,,google/gemma-3-12b-it,base,113
english,black people,4,8,,,google/gemma-3-12b-it,base,114
english,white people,,1,,,google/gemma-3-12b-it,base,115
english,asian people,4,4,,,google/gemma-3-12b-it,base,116
english,muslims,3,3,,,google/gemma-3-12b-it,base,117
english,jews,,7,,,google/gemma-3-12b-it,base,118
english,latinx people,0,3,,,google/gemma-3-12b-it,base,119
english,asian people,,7,,,google/gemma-3-12b-it,base,120
