pair_model,ideology,question_id,topic_no_think,both_aligned,both_unaligned,not_comparable,think_harm,think_rescue,both_correct,both_incorrect,n,net_rescue_rate,localized
Qwen3-14B,authoritarian_left,0,globalization_corporations,288,0,0,2,10,0,0,12,0.6666666666666666,True
Qwen3-14B,authoritarian_left,1,nationalism,30,203,0,34,33,0,0,67,-0.014925373134328358,False
Qwen3-14B,authoritarian_left,2,nationalism,118,48,0,51,83,0,0,134,0.23880597014925373,True
Qwen3-14B,authoritarian_left,3,race_ethnicity,0,282,0,17,1,0,0,18,-0.8888888888888888,True
Qwen3-14B,authoritarian_left,4,foreign_policy,5,226,0,55,14,0,0,69,-0.5942028985507246,True
Qwen3-14B,authoritarian_left,5,war_international_law,40,139,0,23,98,0,0,121,0.6198347107438017,True
Qwen3-14B,authoritarian_left,6,media_information,0,282,0,13,5,0,0,18,-0.4444444444444444,True
Qwen3-14B,authoritarian_left,7,class_nationality,252,17,0,11,20,0,0,31,0.2903225806451613,True
Qwen3-14B,authoritarian_left,8,macroeconomics,136,40,0,27,97,0,0,124,0.5645161290322581,True
Qwen3-14B,authoritarian_left,9,environment_regulation,287,0,0,3,10,0,0,13,0.5384615384615384,True
Qwen3-14B,authoritarian_left,10,redistribution,266,2,0,7,25,0,0,32,0.5625,True
Qwen3-14B,authoritarian_left,11,markets_property,279,1,0,0,20,0,0,20,1.0,True
Qwen3-14B,authoritarian_left,12,commodification,285,1,0,0,14,0,0,14,1.0,True
Qwen3-14B,authoritarian_left,13,markets_property,299,0,0,0,1,0,0,1,1.0,True
Qwen3-14B,authoritarian_left,14,finance_inequality,281,0,0,0,19,0,0,19,1.0,True
Qwen3-14B,authoritarian_left,15,trade_protectionism,199,28,0,15,58,0,0,73,0.589041095890411,True
Qwen3-14B,authoritarian_left,16,corporate_responsibility,252,1,0,2,45,0,0,47,0.9148936170212766,True
Qwen3-14B,authoritarian_left,17,taxation_inequality,192,1,0,2,105,0,0,107,0.9626168224299065,True
Qwen3-14B,authoritarian_left,18,healthcare_inequality,278,0,0,0,22,0,0,22,1.0,True
Qwen3-14B,authoritarian_left,19,consumer_regulation,296,0,0,0,4,0,0,4,1.0,True
Qwen3-14B,authoritarian_left,20,competition_monopoly,0,0,300,0,0,0,0,0,,False
Qwen3-14B,authoritarian_left,21,abortion,161,40,0,54,45,0,0,99,-0.09090909090909091,True
Qwen3-14B,authoritarian_left,22,authority_civil_liberties,238,1,0,1,60,0,0,61,0.9672131147540983,True
Qwen3-14B,authoritarian_left,23,punishment_justice,3,244,0,44,9,0,0,53,-0.660377358490566,True
Qwen3-14B,authoritarian_left,24,culture_public_funding,183,13,0,7,97,0,0,104,0.8653846153846154,True
Qwen3-14B,authoritarian_left,25,education_authority,195,15,0,12,78,0,0,90,0.7333333333333333,True
Qwen3-14B,authoritarian_left,26,race_segregation,8,234,0,51,7,0,0,58,-0.7586206896551724,True
Qwen3-14B,authoritarian_left,27,family_discipline,1,254,0,31,14,0,0,45,-0.37777777777777777,True
Qwen3-14B,authoritarian_left,28,family_privacy,259,0,0,3,38,0,0,41,0.8536585365853658,True
Qwen3-14B,authoritarian_left,29,drugs_personal_liberty,219,13,0,22,46,0,0,68,0.35294117647058826,True
Qwen3-14B,authoritarian_left,30,education_work,0,265,0,31,4,0,0,35,-0.7714285714285715,True
Qwen3-14B,authoritarian_left,31,disability_eugenics,54,118,0,60,68,0,0,128,0.0625,True
Qwen3-14B,authoritarian_left,32,family_discipline,165,64,0,30,41,0,0,71,0.15492957746478872,True
