model,ideology,n,accuracy,macro_f1,negative_f1,positive_f1,mean_confidence,positive_pred_rate,positive_gold_rate
gemma-3-1b-it,base,9000,0.5297777777777778,0.5171403512045832,0.43902439024390244,0.595256312165264,0.9075330886395161,0.5284444444444445,0.6333333333333333
gemma-3-1b-it,libertarian_left,9000,0.5208888888888888,0.5088334795138454,0.4318840579710145,0.5857829010566763,0.8831620018935739,0.5233333333333333,0.6333333333333333
gemma-3-1b-it,libertarian_right,9000,0.5174444444444445,0.5068195038748301,0.4344315666102357,0.5792074411394245,0.8844292867941755,0.5134444444444445,0.6333333333333333
gemma-3-1b-it,authoritarian_left,9000,0.521,0.5110321488895071,0.4412184057031756,0.5808458920758386,0.8902332487672103,0.5094444444444445,0.6333333333333333
gemma-3-1b-it,authoritarian_right,9000,0.5227777777777778,0.5135283236319432,0.4464492847016368,0.5806073625622498,0.8918233429942755,0.5045555555555555,0.6333333333333333
gemma-3-1b-it,centrism,9000,0.5294444444444445,0.5143829723800936,0.42886041807147673,0.5999055266887104,0.8939326321324662,0.5427777777777778,0.6333333333333333
gemma-3-4b-it,base,9000,0.5922222222222222,0.591827151217969,0.5791284403669725,0.6045258620689655,0.9108426302747479,0.3977777777777778,0.6333333333333333
gemma-3-4b-it,libertarian_left,9000,0.5168888888888888,0.5166405495445661,0.5056844020009095,0.5275966970882225,0.893799134371124,0.3893333333333333,0.6333333333333333
gemma-3-4b-it,libertarian_right,9000,0.49633333333333335,0.49616398845167403,0.5054009819967267,0.4869269949066214,0.9017327096824815,0.34833333333333333,0.6333333333333333
gemma-3-4b-it,authoritarian_left,9000,0.5097777777777778,0.5088172183042997,0.5305384124281762,0.48709602418042314,0.8990863266229597,0.3224444444444444,0.6333333333333333
gemma-3-4b-it,authoritarian_right,9000,0.49444444444444446,0.4919708820288651,0.5274200249272953,0.45652173913043476,0.8938640759629612,0.29688888888888887,0.6333333333333333
gemma-3-4b-it,centrism,9000,0.5872222222222222,0.5831179983290058,0.5417540397187616,0.62448195693925,0.8879557819918756,0.4658888888888889,0.6333333333333333
gemma-3-12b-it,base,9000,0.6712222222222223,0.6690628409166275,0.6423304726217817,0.6957952092114732,0.9145504019199664,0.4474444444444444,0.6333333333333333
gemma-3-12b-it,libertarian_left,9000,0.5132222222222222,0.5120718623639974,0.4883802405698937,0.535763484158101,0.9126210947214111,0.4152222222222222,0.6333333333333333
gemma-3-12b-it,libertarian_right,9000,0.48844444444444446,0.4883023061961656,0.4968306010928962,0.47977401129943503,0.9250531027754385,0.35,0.6333333333333333
gemma-3-12b-it,authoritarian_left,9000,0.5562222222222222,0.5517997808599429,0.5072785590920306,0.5963210026278553,0.9157663853849837,0.466,0.6333333333333333
gemma-3-12b-it,authoritarian_right,9000,0.5361111111111111,0.5359770084665579,0.5280886176104894,0.5438653993226265,0.9208615211498519,0.38366666666666666,0.6333333333333333
gemma-3-12b-it,centrism,9000,0.6097777777777778,0.6070048036724909,0.5739932071809801,0.6400164001640016,0.9027496871125792,0.45066666666666666,0.6333333333333333
gemma-3-27b-it,base,9000,0.6812222222222222,0.6802233782308991,0.6623514181475815,0.6980953383142166,0.9410506005893943,0.4225555555555556,0.6333333333333333
gemma-3-27b-it,libertarian_left,9000,0.48477777777777775,0.4838624875502989,0.5055976116856807,0.46212736341491706,0.9505091473093609,0.32455555555555554,0.6333333333333333
gemma-3-27b-it,libertarian_right,9000,0.47444444444444445,0.466765873015873,0.5307539682539683,0.4027777777777778,0.9623035087432512,0.24666666666666667,0.6333333333333333
gemma-3-27b-it,authoritarian_left,9000,0.5412222222222223,0.5412201775368406,0.5421887127175962,0.540251642356085,0.9427059635690055,0.3645555555555556,0.6333333333333333
gemma-3-27b-it,authoritarian_right,9000,0.5035555555555555,0.4997204246837634,0.5435226808336738,0.4559181685338529,0.955175825103602,0.2791111111111111,0.6333333333333333
gemma-3-27b-it,centrism,9000,0.6147777777777778,0.6145855416106989,0.6059779520400046,0.6231931311813933,0.932481051559083,0.389,0.6333333333333333
Qwen3-4B,base,9000,0.6007777777777777,0.5952156155618611,0.5477658904971681,0.642665340626554,0.8627679401788313,0.48388888888888887,0.6333333333333333
Qwen3-4B,libertarian_left,9000,0.557,0.550144868697225,0.49461275193307136,0.6056769854613787,0.8237922961628166,0.4901111111111111,0.6333333333333333
Qwen3-4B,libertarian_right,9000,0.5596666666666666,0.5532211313389954,0.499558025003157,0.6068842376748338,0.8315673466615767,0.48677777777777775,0.6333333333333333
Qwen3-4B,authoritarian_left,9000,0.5825555555555556,0.5769389288766313,0.5281928921260831,0.6256849656271795,0.834200962538386,0.48188888888888887,0.6333333333333333
Qwen3-4B,authoritarian_right,9000,0.5738888888888889,0.5691182889330838,0.5237799577797094,0.6144566200864582,0.8337856286422072,0.4718888888888889,0.6333333333333333
Qwen3-4B,centrism,9000,0.6038888888888889,0.5940231040015378,0.5307358167697775,0.657310391233298,0.8309777967005652,0.5225555555555556,0.6333333333333333
Qwen3-8B,base,9000,0.66,0.6473280347678725,0.5804771044694269,0.714178965066318,0.8271070484499964,0.5562222222222222,0.6333333333333333
Qwen3-8B,libertarian_left,9000,0.5574444444444444,0.545127156101658,0.4702753025668307,0.6199790096364851,0.7995448298666699,0.5312222222222223,0.6333333333333333
Qwen3-8B,libertarian_right,9000,0.5607777777777778,0.5548450103758762,0.5034543399070468,0.6062356808447057,0.797952411667928,0.4821111111111111,0.6333333333333333
Qwen3-8B,authoritarian_left,9000,0.5678888888888889,0.553103973863407,0.4718185522205623,0.6343893955062517,0.7979349655831486,0.5485555555555556,0.6333333333333333
Qwen3-8B,authoritarian_right,9000,0.5618888888888889,0.5558550925893884,0.5040875361589737,0.607622649019803,0.7924187747024272,0.4832222222222222,0.6333333333333333
Qwen3-8B,centrism,9000,0.6342222222222222,0.616088638276196,0.5326519023282226,0.6995253742241694,0.8077231139094504,0.584,0.6333333333333333
Qwen3-14B,base,9000,0.6822222222222222,0.6757243956694517,0.6298213823453275,0.721627408993576,0.8404871251677093,0.5082222222222222,0.6333333333333333
Qwen3-14B,libertarian_left,9000,0.5473333333333333,0.5405193141790231,0.48456477732793524,0.596473851030111,0.832529586453207,0.48844444444444446,0.6333333333333333
Qwen3-14B,libertarian_right,9000,0.5122222222222222,0.5120047329735846,0.5223068552774756,0.5017026106696936,0.8231276218266634,0.34555555555555556,0.6333333333333333
Qwen3-14B,authoritarian_left,9000,0.5498888888888889,0.5457313719305048,0.5022730065118565,0.5891897373491533,0.8265035747568082,0.4623333333333333,0.6333333333333333
Qwen3-14B,authoritarian_right,9000,0.5551111111111111,0.5550871846885987,0.5518244907096486,0.558349878667549,0.8263560570622418,0.374,0.6333333333333333
Qwen3-14B,centrism,9000,0.6557777777777778,0.6500238413569948,0.6051491205709916,0.6948985621429978,0.8324276063811379,0.4948888888888889,0.6333333333333333
Qwen3-32B,base,9000,0.6856666666666666,0.6761730149546357,0.6207266389596461,0.7316193909496252,0.7988473461543997,0.5378888888888889,0.6333333333333333
Qwen3-32B,libertarian_left,9000,0.5244444444444445,0.5197693456655369,0.4723865877712032,0.5671521035598706,0.7919912661151077,0.4653333333333333,0.6333333333333333
Qwen3-32B,libertarian_right,9000,0.5005555555555555,0.500534090853954,0.5038083673694669,0.4972598143384409,0.7887906644163816,0.3601111111111111,0.6333333333333333
Qwen3-32B,authoritarian_left,9000,0.5642222222222222,0.5519076258929096,0.47762386787426747,0.6261913839115517,0.7689705765273852,0.5324444444444445,0.6333333333333333
Qwen3-32B,authoritarian_right,9000,0.5766666666666667,0.5738320923797797,0.539075731913864,0.6085884528456955,0.7795126192580867,0.44822222222222224,0.6333333333333333
Qwen3-32B,centrism,9000,0.6592222222222223,0.6486526485229823,0.587713402339024,0.7095918947069406,0.7822522623534028,0.5401111111111111,0.6333333333333333
