model,ideology,config_id,context_id,instr_combo,key_type,perm_id,persona_combo,n,accuracy,macro_f1,negative_f1,positive_f1,mean_confidence,positive_pred_rate,positive_gold_rate
gemma-3-1b-it,base,0,-1,question_first_idx1,lowercase_start,0,base,30,0.6666666666666666,0.625,0.5,0.75,0.8364623530716694,0.7,0.6333333333333333
gemma-3-1b-it,base,1,-1,question_first_idx4,numeric,1,base,30,0.6333333333333333,0.3877551020408163,0.0,0.7755102040816326,0.9477406647822229,1.0,0.6333333333333333
gemma-3-1b-it,base,2,-1,options_first_idx1,numeric_zero_index,3,base,30,0.5666666666666667,0.5622895622895623,0.6060606060606061,0.5185185185185185,0.8164091761341511,0.26666666666666666,0.6333333333333333
gemma-3-1b-it,base,3,-1,question_first_idx0,lowercase_start,2,base,30,0.6333333333333333,0.3877551020408163,0.0,0.7755102040816326,0.9804854792375611,1.0,0.6333333333333333
gemma-3-1b-it,base,4,-1,options_first_idx3,lowercase_start,3,base,30,0.6333333333333333,0.3877551020408163,0.0,0.7755102040816326,0.9957352007537198,1.0,0.6333333333333333
gemma-3-1b-it,base,5,-1,question_first_idx1,uppercase_start,1,base,30,0.3333333333333333,0.25,0.5,0.0,0.9222737275182114,0.03333333333333333,0.6333333333333333
gemma-3-1b-it,base,6,-1,question_first_idx0,lowercase_start,1,base,30,0.43333333333333335,0.3772893772893773,0.5641025641025641,0.19047619047619047,0.8313272129000538,0.06666666666666667,0.6333333333333333
gemma-3-1b-it,base,7,-1,options_first_idx1,uppercase_start,2,base,30,0.36666666666666664,0.2682926829268293,0.5365853658536586,0.0,0.8895026755848189,0.0,0.6333333333333333
gemma-3-1b-it,base,8,4,question_first_idx2,lowercase_start,1,base,30,0.36666666666666664,0.2682926829268293,0.5365853658536586,0.0,0.9231183904869426,0.0,0.6333333333333333
gemma-3-1b-it,base,9,-1,options_first_idx2,uppercase_start,1,base,30,0.3333333333333333,0.3212669683257918,0.4117647058823529,0.23076923076923078,0.7035727822507308,0.23333333333333334,0.6333333333333333
gemma-3-1b-it,base,10,2,options_first_idx0,numeric,3,base,30,0.5666666666666667,0.5661846496106786,0.5806451612903226,0.5517241379310345,0.893625936942018,0.3333333333333333,0.6333333333333333
gemma-3-1b-it,base,11,-1,question_first_idx2,numeric_zero_index,3,base,30,0.6333333333333333,0.3877551020408163,0.0,0.7755102040816326,0.9841074838082341,1.0,0.6333333333333333
gemma-3-1b-it,base,12,1,options_first_idx3,uppercase_start,1,base,30,0.36666666666666664,0.2682926829268293,0.5365853658536586,0.0,0.9730698312126072,0.0,0.6333333333333333
gemma-3-1b-it,base,13,-1,options_first_idx2,uppercase_start,0,base,30,0.36666666666666664,0.2682926829268293,0.5365853658536586,0.0,0.9058605995466426,0.0,0.6333333333333333
gemma-3-1b-it,base,14,2,question_first_idx4,numeric_zero_index,0,base,30,0.36666666666666664,0.2682926829268293,0.5365853658536586,0.0,0.9970370597274545,0.0,0.6333333333333333
gemma-3-1b-it,base,15,4,question_first_idx1,lowercase_start,1,base,30,0.36666666666666664,0.2682926829268293,0.5365853658536586,0.0,0.9160561568803172,0.0,0.6333333333333333
gemma-3-1b-it,base,16,-1,options_first_idx1,lowercase_start,2,base,30,0.36666666666666664,0.304029304029304,0.5128205128205128,0.09523809523809523,0.7401874743149948,0.06666666666666667,0.6333333333333333
gemma-3-1b-it,base,17,-1,question_first_idx3,numeric_zero_index,0,base,30,0.4666666666666667,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.7519888139741433,0.5666666666666667,0.6333333333333333
gemma-3-1b-it,base,18,-1,options_first_idx1,uppercase_start,3,base,30,0.7,0.6306429548563611,0.47058823529411764,0.7906976744186046,0.6888134139938644,0.8,0.6333333333333333
gemma-3-1b-it,base,19,-1,options_first_idx4,lowercase_start,3,base,30,0.5666666666666667,0.3617021276595745,0.0,0.723404255319149,0.8163027325637294,0.9333333333333333,0.6333333333333333
gemma-3-1b-it,base,20,-1,options_first_idx0,numeric,3,base,30,0.6333333333333333,0.3877551020408163,0.0,0.7755102040816326,0.919240971004841,1.0,0.6333333333333333
gemma-3-1b-it,base,21,0,options_first_idx0,numeric,2,base,30,0.6,0.375,0.0,0.75,0.8786521473351685,0.9666666666666667,0.6333333333333333
gemma-3-1b-it,base,22,1,question_first_idx2,uppercase_start,3,base,30,0.6333333333333333,0.3877551020408163,0.0,0.7755102040816326,0.941652847896091,1.0,0.6333333333333333
gemma-3-1b-it,base,23,0,question_first_idx2,numeric,2,base,30,0.6333333333333333,0.3877551020408163,0.0,0.7755102040816326,0.9966408071280003,1.0,0.6333333333333333
gemma-3-1b-it,base,24,1,question_first_idx2,numeric_zero_index,0,base,30,0.6,0.4409937888198757,0.14285714285714285,0.7391304347826086,0.9345124755060493,0.9,0.6333333333333333
gemma-3-1b-it,base,25,-1,question_first_idx0,numeric_zero_index,2,base,30,0.6333333333333333,0.3877551020408163,0.0,0.7755102040816326,0.9885909892264351,1.0,0.6333333333333333
gemma-3-1b-it,base,26,3,options_first_idx0,numeric,2,base,30,0.6333333333333333,0.3877551020408163,0.0,0.7755102040816326,0.9705816004824029,1.0,0.6333333333333333
gemma-3-1b-it,base,27,-1,question_first_idx3,uppercase_start,1,base,30,0.7,0.6000000000000001,0.4,0.8,0.8643302817750264,0.8666666666666667,0.6333333333333333
gemma-3-1b-it,base,28,0,options_first_idx3,lowercase_start,1,base,30,0.36666666666666664,0.2682926829268293,0.5365853658536586,0.0,0.9991612473151726,0.0,0.6333333333333333
gemma-3-1b-it,base,29,-1,question_first_idx3,uppercase_start,0,base,30,0.36666666666666664,0.2682926829268293,0.5365853658536586,0.0,0.9349631689039757,0.0,0.6333333333333333
gemma-3-1b-it,base,30,-1,question_first_idx1,numeric,2,base,30,0.6333333333333333,0.3877551020408163,0.0,0.7755102040816326,0.9664804152110039,1.0,0.6333333333333333
gemma-3-1b-it,base,31,1,options_first_idx2,lowercase_start,2,base,30,0.6333333333333333,0.3877551020408163,0.0,0.7755102040816326,0.9664690058125968,1.0,0.6333333333333333
gemma-3-1b-it,base,32,-1,question_first_idx2,numeric,0,base,30,0.7,0.6000000000000001,0.4,0.8,0.9654182450755351,0.8666666666666667,0.6333333333333333
gemma-3-1b-it,base,33,0,options_first_idx1,uppercase_start,1,base,30,0.36666666666666664,0.2682926829268293,0.5365853658536586,0.0,0.9927058286668744,0.0,0.6333333333333333
gemma-3-1b-it,base,34,0,options_first_idx0,lowercase_start,3,base,30,0.6333333333333333,0.3877551020408163,0.0,0.7755102040816326,0.9865947664341925,1.0,0.6333333333333333
