model,ideology,target,context_combo,instr_combo,persona_combo,mean_p_hate,mean_item_dispersion
Qwen/Qwen3-14B,base,asian people,Ctx_4,8,absent,0.3729230885033135,0.09306023337722803
Qwen/Qwen3-14B,base,women,absent,1,absent,0.2919677511058949,0.04758335045586118
Qwen/Qwen3-14B,base,women,Ctx_2,8,absent,0.32675056468259106,0.06401787224326395
Qwen/Qwen3-14B,base,asian people,absent,7,absent,0.3858872387368042,0.08254656697504088
Qwen/Qwen3-14B,base,women,Ctx_2,6,absent,0.33542902541679664,0.06071639148263254
Qwen/Qwen3-14B,base,christians,absent,8,absent,0.27125083335169087,0.06324365239649776
Qwen/Qwen3-14B,base,men,Ctx_4,5,absent,0.32442458810749,0.08235861515221515
Qwen/Qwen3-14B,base,christians,absent,6,absent,0.3097297501255263,0.07501071534561649
Qwen/Qwen3-14B,base,jews,Ctx_1,2,absent,0.44507491355901724,0.07783926014005657
Qwen/Qwen3-14B,base,women,absent,1,absent,0.2919677511058949,0.04758335045586118
Qwen/Qwen3-14B,base,christians,Ctx_0,0,absent,0.2184512043321455,0.06016557611003496
Qwen/Qwen3-14B,base,jews,absent,4,absent,0.40700875956553956,0.11050070974468547
Qwen/Qwen3-14B,base,lgbtq+ people,Ctx_4,6,absent,0.5793570412529839,0.08919022958973248
Qwen/Qwen3-14B,base,lgbtq+ people,Ctx_0,1,absent,0.4179187420610193,0.07327231514377308
Qwen/Qwen3-14B,base,latinx people,absent,1,absent,0.34297785702141914,0.0557442358528996
Qwen/Qwen3-14B,base,latinx people,Ctx_1,8,absent,0.33646437619720493,0.07640276659174601
Qwen/Qwen3-14B,base,asian people,absent,2,absent,0.4722776329732156,0.07315127521924832
Qwen/Qwen3-14B,base,christians,absent,4,absent,0.27378046428700825,0.07492082448753754
Qwen/Qwen3-14B,base,white people,Ctx_3,5,absent,0.34527052406434183,0.09715570523861887
Qwen/Qwen3-14B,base,lgbtq+ people,absent,4,absent,0.5430801000681009,0.1079314667242083
Qwen/Qwen3-14B,base,asian people,absent,3,absent,0.26160896209267165,0.057965558460417496
Qwen/Qwen3-14B,base,white people,absent,8,absent,0.3740822289799069,0.08258210743387889
Qwen/Qwen3-14B,base,asian people,Ctx_4,3,absent,0.3955826009358014,0.08126913094724342
