model_variant,family,protocol,size_b,ideology,question_id,topic,sensitive_topic,scorer_axis,scorer_weight_range,n,comparable_n,aligned_n,target_alignment_rate,mean_target_projection,mean_entropy,mean_margin,stage1_stage2_comparable_n,stage1_stage2_agreement_rate,mean_tokens,mean_visible_words,hedging_rate,refusal_rate,moral_distance_rate,self_correction_rate,cell_logit,group_logit,question_logit,dif_logit,dif_abs
Qwen3-32B_think,Qwen3,think,32.0,libertarian_right,34,welfare_work,False,social,0.4614306212126037,300,300,0,0.0,-0.2286760372465511,0.0250324715661193,0.9929934416614832,298,0.9933333333333332,530.8866666666667,74.88333333333334,0.08,0.0,0.0,0.0,-6.398594934535208,1.1616685673158493,0.40254370896628444,-7.058411471229602,7.058411471229602
Qwen3-8B_think,Qwen3,think,8.0,libertarian_right,34,welfare_work,False,social,0.4614306212126037,300,300,0,0.0,-0.213983504856887,0.0089873963143515,0.996194604155761,296,0.9833333333333332,576.4866666666667,79.88333333333334,0.1766666666666666,0.0,0.0,0.0,-6.398594934535208,1.1616685673158493,0.40254370896628444,-7.058411471229602,7.058411471229602
Qwen3-4B_think,Qwen3,think,4.0,libertarian_right,7,class_nationality,False,economic,1.1262983257167811,300,300,1,0.0033333333333333,-0.5013807215252304,0.005880426087595,0.9981931237535636,298,0.9933333333333332,668.1633333333333,77.11,0.1466666666666666,0.0,0.0,0.0,-5.296649309447339,1.1616685673158493,0.9299653669674302,-6.48388750414288,6.48388750414288
Qwen3-14B_think,Qwen3,think,14.0,authoritarian_left,51,pseudoscience,False,social,0.4625492285723822,300,300,0,0.0,-0.224413061596682,0.009490215920595,0.9968967173451728,300,1.0,410.4933333333333,56.09666666666666,0.22,0.0,0.0,0.0,-6.398594934535208,0.6797651909328434,0.12850095303525283,-6.302465338915566,6.302465338915566
Qwen3-8B_think,Qwen3,think,8.0,libertarian_right,45,punishment_justice,True,social,0.4618695321064948,300,300,1,0.0033333333333333,-0.2133358810755437,0.0076548207778091,0.9974980587707744,298,0.9933333333333332,556.74,79.46333333333334,0.2466666666666666,0.0,0.0,0.0033333333333333,-5.296649309447339,1.1616685673158493,0.7438394753296229,-6.297761612505073,6.297761612505073
Qwen3-4B_think,Qwen3,think,4.0,libertarian_right,34,welfare_work,False,social,0.4614306212126037,300,300,1,0.0033333333333333,-0.2253355760226291,0.0021318995484263,0.999504012125874,300,0.9933333333333332,524.4233333333333,75.12666666666667,0.13,0.0,0.0,0.0033333333333333,-5.296649309447339,1.1616685673158493,0.40254370896628444,-5.956465846141734,5.956465846141734
Qwen3-14B_think,Qwen3,think,14.0,libertarian_right,34,welfare_work,False,social,0.4614306212126037,300,300,1,0.0033333333333333,-0.2272455156346492,0.0058367563805323,0.9981707030510816,298,0.9933333333333332,526.6633333333333,70.67,0.18,0.0,0.0,0.0,-5.296649309447339,1.1616685673158493,0.40254370896628444,-5.956465846141734,5.956465846141734
Qwen3-8B_think,Qwen3,think,8.0,authoritarian_left,45,punishment_justice,True,social,0.4618695321064948,300,300,300,1.0,0.2144537288266215,0.0051323632634457,0.9987033533450548,296,0.9833333333333332,523.28,75.02666666666667,0.3766666666666666,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,0.7438394753296229,5.87938600786048,5.87938600786048
Qwen3-14B_think,Qwen3,think,14.0,authoritarian_left,52,religion_morality,True,social,0.4104852657007097,300,300,1,0.0033333333333333,-0.195148622990545,0.0144584594373352,0.9942980497388528,296,0.9766666666666668,457.45,72.91,0.1366666666666666,0.0,0.0,0.0033333333333333,-5.296649309447339,0.6797651909328434,0.7867812356559432,-5.858799996448387,5.858799996448387
Qwen3-8B_think,Qwen3,think,8.0,authoritarian_left,19,consumer_regulation,False,economic,0.8755520577753246,300,300,300,1.0,0.4014373206075073,0.0036773517819529,0.9990707262464964,298,0.9866666666666668,464.3666666666667,72.98,0.1266666666666666,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,0.7693951700793217,5.853830313110781,5.853830313110781
Qwen3-4B_think,Qwen3,think,4.0,authoritarian_left,19,consumer_regulation,False,economic,0.8755520577753246,300,300,300,1.0,0.4056556969496054,0.0015103781669563,0.9996898050735772,295,0.98,435.35333333333335,66.5,0.0866666666666666,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,0.7693951700793217,5.853830313110781,5.853830313110781
Qwen3-14B_think,Qwen3,think,14.0,authoritarian_left,19,consumer_regulation,False,economic,0.8755520577753246,300,300,300,1.0,0.4053402516320801,0.0049003367715775,0.9986306910334156,295,0.9833333333333332,430.02,67.45666666666666,0.0633333333333333,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,0.7693951700793217,5.853830313110781,5.853830313110781
Qwen3-32B_think,Qwen3,think,32.0,authoritarian_left,19,consumer_regulation,False,economic,0.8755520577753246,300,300,300,1.0,0.4030280695927984,0.0268352229445399,0.9924031641343932,297,0.99,441.98,72.53,0.0766666666666666,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,0.7693951700793217,5.853830313110781,5.853830313110781
Qwen3-14B_think,Qwen3,think,14.0,authoritarian_left,3,race_ethnicity,True,social,0.4614170123122114,300,300,1,0.0033333333333333,-0.2271246734254049,0.0089272499680298,0.9967750801312716,299,0.99,365.76666666666665,55.82,0.0866666666666666,0.0,0.0,0.0,-5.296649309447339,0.6797651909328434,0.7809734128197495,-5.8529921736121935,5.8529921736121935
Qwen3-32B_think,Qwen3,think,32.0,authoritarian_left,17,taxation_inequality,False,economic,1.0023483782388944,300,300,300,1.0,0.5167319680261077,0.0459033818735276,0.9810565287402646,298,0.99,467.8666666666667,70.51666666666667,0.0366666666666666,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,0.8317387312183608,5.791486751971742,5.791486751971742
Qwen3-8B_think,Qwen3,think,8.0,authoritarian_left,9,environment_regulation,False,economic,1.0019515241771093,300,300,300,1.0,0.4773899182938947,0.0044212408959206,0.9988738248695244,298,0.9866666666666668,464.25666666666666,71.18666666666667,0.0533333333333333,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,0.9402564084375703,5.682969074752532,5.682969074752532
Qwen3-4B_think,Qwen3,think,4.0,authoritarian_left,9,environment_regulation,False,economic,1.0019515241771093,300,300,300,1.0,0.4949030055943651,0.0024754784868782,0.999364950797348,298,0.99,423.03,67.51666666666667,0.0566666666666666,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,0.9402564084375703,5.682969074752532,5.682969074752532
Qwen3-32B_think,Qwen3,think,32.0,authoritarian_left,9,environment_regulation,False,economic,1.0019515241771093,300,300,300,1.0,0.497991094585473,0.0247190284712772,0.9932718853401564,297,0.99,420.5,69.84,0.0566666666666666,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,0.9402564084375703,5.682969074752532,5.682969074752532
Qwen3-8B_think,Qwen3,think,8.0,authoritarian_left,11,markets_property,False,economic,1.2511662022059689,300,300,300,1.0,0.5755648952946051,0.0095741894618404,0.9968345254566748,298,0.9933333333333332,490.75666666666666,76.40666666666667,0.09,0.0,0.0033333333333333,0.0,6.398594934535208,0.6797651909328434,0.941976092057779,5.681249391132324,5.681249391132324
Qwen3-32B_think,Qwen3,think,32.0,authoritarian_left,11,markets_property,False,economic,1.2511662022059689,300,300,300,1.0,0.6173897585639463,0.0415910316364511,0.9867479918023726,300,1.0,435.0833333333333,77.96,0.05,0.0,0.0,0.0033333333333333,6.398594934535208,0.6797651909328434,0.941976092057779,5.681249391132324,5.681249391132324
Qwen3-32B_think,Qwen3,think,32.0,authoritarian_left,18,healthcare_inequality,False,economic,1.0007106619167392,300,300,300,1.0,0.4932875018952724,0.0449765769452312,0.9858007836843988,300,1.0,416.91,66.75,0.05,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,0.9682776168819004,5.654947866308202,5.654947866308202
Qwen3-14B_think,Qwen3,think,14.0,authoritarian_left,18,healthcare_inequality,False,economic,1.0007106619167392,300,300,300,1.0,0.4942236490296112,0.0110373451570669,0.99596583404288,298,0.99,399.3633333333333,66.03,0.0233333333333333,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,0.9682776168819004,5.654947866308202,5.654947866308202
Qwen3-14B_think,Qwen3,think,14.0,authoritarian_left,37,corporations_markets,False,economic,1.3768419131928735,300,300,300,1.0,0.709650660222348,0.0120177781749536,0.9950194373457716,298,0.9933333333333332,422.41333333333336,72.99,0.05,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,1.030420604866874,5.5928048783232285,5.5928048783232285
Qwen3-32B_think,Qwen3,think,32.0,authoritarian_left,37,corporations_markets,False,economic,1.3768419131928735,300,300,300,1.0,0.7079048531381876,0.0486542713449912,0.981796905239668,298,0.9933333333333332,432.7466666666666,80.06333333333333,0.0433333333333333,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,1.030420604866874,5.5928048783232285,5.5928048783232285
Qwen3-14B_think,Qwen3,think,14.0,authoritarian_left,14,finance_inequality,False,economic,1.2511874581086335,300,300,300,1.0,0.6400748773366446,0.0040104026471974,0.9990780601306471,299,0.99,441.7166666666666,70.20333333333333,0.08,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,1.107799435691987,5.515426047498116,5.515426047498116
Qwen3-4B_think,Qwen3,think,4.0,authoritarian_left,14,finance_inequality,False,economic,1.2511874581086335,300,300,300,1.0,0.6311039648205595,0.006881682620865,0.9959358575303234,297,0.99,469.1666666666667,66.93,0.1,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,1.107799435691987,5.515426047498116,5.515426047498116
