ideology,target,question_feature,n_questions,spearman_rho,p_value,q_bh
authoritarian_left,delta__stage1_tokens__mean,sensitive_topic,62,-0.6641908158337967,3.973370612233645e-09,3.5760335510102804e-08
all,delta__stage1_tokens__mean,sensitive_topic,62,-0.6623534968411722,4.539206798279714e-09,4.0852861184517426e-08
authoritarian_right,delta__stage1_tokens__mean,sensitive_topic,62,-0.6182578410181815,8.584931844567878e-08,7.72643866011109e-07
base,delta__stage1_tokens__mean,sensitive_topic,62,-0.5245545723943263,1.2070222628707564e-05,0.00010863200365836808
libertarian_right,delta__stage1_tokens__mean,sensitive_topic,62,-0.4675976836229634,0.00012715939721418023,0.0011444345749276222
authoritarian_left,alignment_switch_rate,sensitive_topic,61,0.4194616259577151,0.0007655322134455029,0.006508747253699258
authoritarian_left,alignment_switch_rate,scorer_weight_range,61,-0.39900026664539856,0.001446388278599835,0.006508747253699258
all,delta__visible_hedging_present__mean,modal_count,62,-0.3636384396906867,0.003670288204323364,0.033032593838910274
authoritarian_left,alignment_switch_rate,negation_count,61,0.3100782957230877,0.015017432027639247,0.04505229608291774
authoritarian_left,delta__target_aligned__mean,sensitive_topic,62,0.35051274536579535,0.005222567223431197,0.04700310501088077
authoritarian_right,delta__visible_hedging_present__mean,sensitive_topic,62,-0.3431269022470678,0.006329118955539701,0.056962070599857306
libertarian_right,delta__stage1_tokens__mean,scorer_weight_range,62,0.31041776837652035,0.014069684240422318,0.06331357908190043
all,delta__classification_entropy__mean,concessive_count,62,0.32799965586939406,0.00925354487465757,0.08328190387191813
libertarian_left,delta__classification_entropy__mean,modal_count,62,0.2923580783156524,0.021121256616744553,0.09930143859347304
libertarian_left,delta__classification_entropy__mean,absolute_term_count,62,-0.2903454730807378,0.02206698635410512,0.09930143859347304
base,delta__stage1_stage2_agree__mean,absolute_term_count,62,-0.31688180649463876,0.012094105237630201,0.10884694713867181
authoritarian_right,delta__visible_hedging_present__mean,modal_count,62,-0.2797862244858954,0.027637480933812054,0.12436866420215424
libertarian_right,delta__target_aligned__mean,sensitive_topic,62,-0.31110681001534674,0.01384666078361136,0.12461994705250223
libertarian_right,delta__target_projection_expected__mean,statement_words,61,0.2722708070404156,0.03377112377849696,0.1690077370416181
