method,question_id,question_pairs,four_way_agreement,binary_stance_agreement,mean_total_variation,mean_abs_expected_answer_delta
Chat Think,0,48,0.4375,0.875,0.5307717147942369,0.5678158383655131
Chat Think,1,48,0.25,0.5625,0.7040397631068337,0.9798542477171482
Chat Think,2,48,0.3125,0.6875,0.683074843413416,0.7213641611161882
Chat Think,3,48,0.625,0.8333333333333334,0.4738007865088886,0.7156062966096176
Chat Think,4,48,0.1875,0.3958333333333333,0.7897532979664604,0.7627460650141312
Chat Think,5,48,0.2708333333333333,0.5833333333333334,0.7162992436703329,0.8259473354789589
Chat Think,6,48,0.4791666666666667,0.7083333333333334,0.593483676351793,0.6369692751471449
Chat Think,7,48,0.3541666666666667,0.7916666666666666,0.6354577883442775,0.7004464052217135
Chat Think,8,48,0.5625,0.9166666666666666,0.532293375922002,0.5954552515049457
Chat Think,9,48,0.6458333333333334,0.8333333333333334,0.47420543963971884,0.6619921703485661
Chat Think,10,48,0.5,0.8958333333333334,0.571945562787465,0.7231695841407165
Chat Think,11,48,0.375,0.5833333333333334,0.6395151582598849,0.887358504996446
Chat Think,12,48,0.4583333333333333,0.7916666666666666,0.5919334168454435,0.7727785678132356
Chat Think,13,48,0.5208333333333334,0.8333333333333334,0.557161917578756,0.7029914029120169
Chat Think,14,48,0.3333333333333333,0.6666666666666666,0.6709281355846123,0.7572799227088017
Chat Think,15,48,0.6041666666666666,0.8333333333333334,0.49381772088408876,0.4163077868223102
Chat Think,16,48,0.6666666666666666,0.8541666666666666,0.5203992481484226,0.7257736500876734
Chat Think,17,48,0.25,0.625,0.7422015668151228,0.8249153401292441
Chat Think,18,48,0.3958333333333333,0.5,0.6896543789257413,0.985462555756022
Chat Think,19,48,0.5,0.8541666666666666,0.5708099983071556,0.7240416252554344
Chat Think,20,48,0.4583333333333333,0.8958333333333334,0.564999687749651,0.6871012290011796
Chat Think,21,48,0.4583333333333333,0.7083333333333334,0.5354419271412137,0.8085332072618346
Chat Think,22,48,0.375,0.6875,0.6621020851609357,0.6935758896218435
Chat Think,23,48,0.2916666666666667,0.6041666666666666,0.7003805021581302,0.8516640427144383
Chat Think,24,48,0.3958333333333333,0.625,0.6360019373713843,0.8016353710377769
Chat Think,25,48,0.5,0.7708333333333334,0.5638569049397321,0.6991441495221292
Chat Think,26,48,0.4791666666666667,0.8125,0.543006788545609,0.5975665502535709
Chat Think,27,48,0.3333333333333333,0.5416666666666666,0.7088345560752164,0.829678866699547
