config_id,language,target,context_id,instr_idx,persona_class,persona_idx,model_alias,model,ideology,quantization
0,english,asian people,4,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
1,english,women,-1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
2,english,women,2,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
3,english,asian people,-1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
4,english,women,2,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
5,english,christians,-1,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
6,english,men,4,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
7,english,christians,-1,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
8,english,jews,1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
9,english,women,-1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
10,english,christians,0,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
11,english,jews,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
12,english,lgbtq+ people,4,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
13,english,lgbtq+ people,0,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
14,english,latinx people,-1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
15,english,latinx people,1,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
16,english,asian people,-1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
17,english,christians,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
18,english,white people,3,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
19,english,lgbtq+ people,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
20,english,asian people,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
21,english,white people,-1,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
22,english,asian people,4,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
23,english,white people,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
24,english,white people,1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
25,english,men,-1,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
26,english,latinx people,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
27,english,white people,-1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
28,english,christians,1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
29,english,lgbtq+ people,4,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
30,english,christians,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
31,english,lgbtq+ people,-1,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
32,english,asian people,2,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
33,english,black people,-1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
34,english,white people,-1,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
35,english,lgbtq+ people,3,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
36,english,black people,2,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
37,english,latinx people,0,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
38,english,latinx people,4,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
39,english,lgbtq+ people,3,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
40,english,men,4,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
41,english,muslims,-1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
42,english,women,3,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
43,english,latinx people,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
44,english,asian people,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
45,english,black people,-1,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
46,english,lgbtq+ people,0,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
47,english,asian people,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
48,english,latinx people,3,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
49,english,women,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
50,english,asian people,1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
51,english,latinx people,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
52,english,white people,-1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
53,english,women,0,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
54,english,men,-1,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
55,english,lgbtq+ people,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
56,english,women,0,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
57,english,muslims,-1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
58,english,jews,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
59,english,women,3,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
60,english,men,-1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
61,english,latinx people,3,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
62,english,asian people,3,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
63,english,women,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
64,english,men,-1,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
65,english,black people,1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
66,english,asian people,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
