model_variant,rows,error_rows,comparable_rows,agreement_rows,comparable_rate,conditional_agreement_rate
Qwen3-14B_no_think,111600,0,111386,109587,0.9980824372759857,0.9838489576787028
Qwen3-14B_think,111600,0,111149,110259,0.9959587813620072,0.9919927304789067
Qwen3-32B_no_think,111600,0,111397,110709,0.9981810035842293,0.9938238911281273
Qwen3-32B_think,111600,0,110964,110586,0.9943010752688172,0.9965934897804694
Qwen3-4B_no_think,111600,0,111166,108336,0.9961111111111111,0.9745425759674721
Qwen3-4B_think,111600,0,110899,110043,0.9937186379928316,0.9922812649347604
Qwen3-8B_no_think,111600,0,111471,109483,0.9988440860215054,0.9821657650868836
Qwen3-8B_think,111600,0,110984,110203,0.9944802867383512,0.9929629496143588
gemma-3-12b-it,111600,0,105893,100692,0.9488620071684588,0.950884383292569
gemma-3-1b-it,111600,0,104967,79051,0.9405645161290322,0.7531033562929301
gemma-3-27b-it,111600,0,108264,97815,0.9701075268817204,0.9034859232986034
gemma-3-4b-it,111600,0,105809,93089,0.9481093189964158,0.8797833832660737
