pair_model,ideology,reasoning_mode_no_think,think_config_outcome,n,mean_delta_target_projection,mean_delta_tokens,mean_delta_visible_words,mean_delta_entropy
Qwen3-14B,authoritarian_left,neutral,both_correct,9,2.191949085077509,472.54301075268813,-18.01075268817204,0.011844517028330474
Qwen3-14B,authoritarian_left,neutral,both_incorrect,67,3.1270924825297706,436.95835339431875,-15.981463649494463,0.001761493684588797
Qwen3-14B,authoritarian_left,neutral,think_harm,13,1.8741210673395028,477.4044665012407,-16.32133995037221,0.005325652827927203
Qwen3-14B,authoritarian_left,neutral,think_rescue,11,3.2590124881633504,442.46041055718473,-31.705278592375365,-0.0023805619988094924
Qwen3-14B,authoritarian_left,short,both_correct,10,2.1594591992076237,410.9064516129032,1.7741935483870972,-0.02791203105049613
Qwen3-14B,authoritarian_left,short,both_incorrect,64,2.426005034500093,392.7774697580645,-0.05443548387096753,-0.005155781623723825
Qwen3-14B,authoritarian_left,short,think_harm,16,1.8334656545648633,419.51612903225805,0.06955645161290241,0.004718564350426249
Qwen3-14B,authoritarian_left,short,think_rescue,10,3.008061038800056,412.69838709677424,-1.6709677419354834,0.007859017490957809
Qwen3-14B,authoritarian_left,think,both_correct,6,1.6367837178428022,470.09408602150535,-81.96505376344088,0.0007474270491930642
Qwen3-14B,authoritarian_left,think,both_incorrect,78,2.0477046896190862,401.09842845326716,-104.15177832919768,-0.002230229317276163
Qwen3-14B,authoritarian_left,think,think_harm,4,1.2350940278758284,550.358870967742,-54.16935483870968,-0.006031287732782244
Qwen3-14B,authoritarian_left,think,think_rescue,12,4.565998770440745,451.42607526881716,-103.87096774193549,-0.00496409217345421
Qwen3-14B,authoritarian_right,neutral,both_correct,69,2.8318804530156574,472.882889200561,-9.845021037868161,0.0036500414715056905
Qwen3-14B,authoritarian_right,neutral,both_incorrect,9,1.9225735986052461,495.1218637992831,-25.679211469534053,0.003964753466052764
Qwen3-14B,authoritarian_right,neutral,think_harm,8,-0.788136842773163,420.695564516129,-12.368951612903224,-0.0017074916869264886
Qwen3-14B,authoritarian_right,neutral,think_rescue,14,6.875011392782471,487.06912442396316,-11.767281105990785,-0.007224695371610967
Qwen3-14B,authoritarian_right,short,both_correct,74,2.6231920889750264,411.229293809939,-0.7109851787271141,-0.008083831412550459
Qwen3-14B,authoritarian_right,short,both_incorrect,5,3.099848171153854,465.50967741935483,7.212903225806452,0.0026194656834348457
Qwen3-14B,authoritarian_right,short,think_harm,9,-1.2980811564964618,418.66129032258067,-0.5985663082437274,0.0029815547304109123
Qwen3-14B,authoritarian_right,short,think_rescue,12,5.275639122934702,401.4798387096774,-0.05376344086021434,-0.0017185030462546387
Qwen3-14B,authoritarian_right,think,both_correct,75,1.9219957387981534,443.41655913978497,-101.70967741935483,-0.0030233303378911806
Qwen3-14B,authoritarian_right,think,think_harm,16,-2.368809057223966,412.10987903225805,-88.09173387096774,-0.004854246137554208
Qwen3-14B,authoritarian_right,think,think_rescue,9,4.371247362993201,482.04121863799287,-85.25627240143369,0.0053467089593115975
Qwen3-14B,base,neutral,not_comparable,100,,675.7624193548388,-1.1529032258064504,0.012212837625635823
Qwen3-14B,base,short,not_comparable,100,,574.6024193548387,-1.9919354838709677,0.012149721980577925
Qwen3-14B,base,think,not_comparable,100,,601.1145161290323,-95.92064516129032,-0.005233727168344713
Qwen3-14B,centrism,neutral,not_comparable,100,,475.91838709677415,-17.381129032258062,0.007094066454139022
Qwen3-14B,centrism,short,not_comparable,100,,411.84532258064513,-0.5619354838709676,0.0022161023616797623
Qwen3-14B,centrism,think,not_comparable,100,,420.6611290322581,-104.98129032258065,-0.006605391787614244
Qwen3-14B,libertarian_left,neutral,both_correct,98,1.9077629570116832,440.0552995391705,-22.435483870967744,0.007166295653454995
Qwen3-14B,libertarian_left,neutral,think_rescue,2,14.441880526062691,465.7016129032258,-42.2983870967742,0.04233310076819505
Qwen3-14B,libertarian_left,short,both_correct,90,1.4071225466761543,393.34390681003583,0.5381720430107528,-0.008049363717875414
Qwen3-14B,libertarian_left,short,think_rescue,10,13.242654905293147,390.6983870967742,4.220967741935484,0.000280441655768375
Qwen3-14B,libertarian_left,think,both_correct,99,0.02410706496330062,402.4405343760182,-115.01808406647118,0.00037788693452936206
Qwen3-14B,libertarian_left,think,think_rescue,1,9.316138899385896,479.51612903225805,3.9193548387096655,-0.027608381085444854
Qwen3-14B,libertarian_right,neutral,both_correct,86,3.188127291077365,509.9321080270068,-18.525131282820706,0.003603101743853151
Qwen3-14B,libertarian_right,neutral,think_rescue,14,9.333161803579069,547.684331797235,-11.859447004608295,0.007401026149321049
Qwen3-14B,libertarian_right,short,both_correct,81,2.8948345839137226,443.0557546794106,0.5569494225408205,-0.00972757190654101
Qwen3-14B,libertarian_right,short,think_rescue,19,10.590749404585097,479.990662139219,4.060271646859084,0.00934000429112971
Qwen3-14B,libertarian_right,think,both_correct,98,0.8743501879697168,467.5406517445688,-107.89088215931534,-0.0020086651332146734
Qwen3-14B,libertarian_right,think,think_rescue,2,8.264362850654365,453.82258064516134,-46.32258064516129,0.016009956025143934
Qwen3-32B,authoritarian_left,neutral,both_correct,46,0.5077144430048929,433.69565217391306,-12.822931276297336,-0.00485559188757174
Qwen3-32B,authoritarian_left,neutral,both_incorrect,37,1.6412658364148665,445.16782911944205,-11.069311246730603,-0.017026968109147157
Qwen3-32B,authoritarian_left,neutral,think_harm,7,-0.10659343399716281,385.17972350230417,-12.509216589861751,-0.00628136946323704
Qwen3-32B,authoritarian_left,neutral,think_rescue,10,4.152746250626622,485.5177419354839,-9.903225806451612,-0.01994673791865628
Qwen3-32B,authoritarian_left,short,both_correct,48,0.9653783967984745,367.6633064516129,-1.8279569892473122,-0.048900449397528765
Qwen3-32B,authoritarian_left,short,both_incorrect,36,2.188993543521764,368.93100358422936,-2.126344086021505,-0.06171854472311669
Qwen3-32B,authoritarian_left,short,think_harm,5,1.1774986931778775,362.7451612903226,0.9000000000000004,-0.14875099273076203
Qwen3-32B,authoritarian_left,short,think_rescue,11,3.606079867095488,408.400293255132,-1.236070381231671,-0.024691271612513613
Qwen3-32B,authoritarian_left,think,both_correct,45,1.176887565697436,385.77777777777777,-98.38028673835126,-0.001524378228017277
Qwen3-32B,authoritarian_left,think,both_incorrect,32,1.312219099142878,418.89163306451616,-97.4445564516129,-0.013943845190817039
