model,ideology,item_index,source_item_id,topic,target,gold_label,n,accuracy,positive_pred_rate,mean_confidence
gemma-3-1b-it,base,0,1,This house believes that the sale of violent video games to minors should be banned,the sale of violent video games to minors,NEGATIVE,300,0.5433333333333333,0.45666666666666667,0.8908811585773687
gemma-3-1b-it,base,1,21,This house supports the one-child policy of the republic of China,the one-child policy of the republic of China,POSITIVE,300,0.49666666666666665,0.49666666666666665,0.8981271738100651
gemma-3-1b-it,base,2,61,This house would permit the use of performance enhancing drugs in professional sports,the use of performance enhancing drugs in professional sports,POSITIVE,300,0.5166666666666667,0.5166666666666667,0.9172156344548396
gemma-3-1b-it,base,3,81,This house would make physical education compulsory,make physical education compulsory,POSITIVE,300,0.5266666666666666,0.5266666666666666,0.8954784367814498
gemma-3-1b-it,base,4,101,This house believes in the use of affirmative action,the use of affirmative action,POSITIVE,300,0.5933333333333334,0.5933333333333334,0.9213574779541321
gemma-3-1b-it,base,5,121,This house would ban boxing,boxing,NEGATIVE,300,0.51,0.49,0.9180077188453418
gemma-3-1b-it,base,6,181,This house would embrace multiculturalism,multiculturalism,POSITIVE,300,0.6133333333333333,0.6133333333333333,0.9103557581710553
gemma-3-1b-it,base,7,221,This house would ban gambling,gambling,NEGATIVE,300,0.5,0.5,0.9150869623054819
gemma-3-1b-it,base,8,323,This house believes that the right to asylum should not be absolute,the right to asylum,NEGATIVE,300,0.5166666666666667,0.48333333333333334,0.8987393872070769
gemma-3-1b-it,base,9,381,This house would abolish the monarchy,the monarchy,NEGATIVE,300,0.4766666666666667,0.5233333333333333,0.9047672170038773
gemma-3-1b-it,base,10,641,This house would abolish all collective bargaining rights claimed by trades unions,collective bargaining rights claimed by trades unions,NEGATIVE,300,0.49666666666666665,0.5033333333333333,0.9185844342478907
gemma-3-1b-it,base,11,642,This house would ban partial birth abortions,partial birth abortions,NEGATIVE,300,0.49666666666666665,0.5033333333333333,0.8958106188149738
gemma-3-1b-it,base,12,644,This house would introduce year round schooling,year round schooling,POSITIVE,300,0.5866666666666667,0.5866666666666667,0.9098429165010696
