scope,split,ideology,n
all,confirmation,libertarian_left,63000
model::gemma-3-1b-it,confirmation,libertarian_left,5250
family::Gemma-3::standard,confirmation,libertarian_left,21000
all,discovery,libertarian_left,48600
model::gemma-3-1b-it,discovery,libertarian_left,4050
family::Gemma-3::standard,discovery,libertarian_left,16200
all,confirmation,libertarian_right,63000
model::gemma-3-1b-it,confirmation,libertarian_right,5250
family::Gemma-3::standard,confirmation,libertarian_right,21000
all,discovery,libertarian_right,48600
model::gemma-3-1b-it,discovery,libertarian_right,4050
family::Gemma-3::standard,discovery,libertarian_right,16200
all,confirmation,authoritarian_left,63000
model::gemma-3-1b-it,confirmation,authoritarian_left,5250
family::Gemma-3::standard,confirmation,authoritarian_left,21000
all,discovery,authoritarian_left,48600
model::gemma-3-1b-it,discovery,authoritarian_left,4050
family::Gemma-3::standard,discovery,authoritarian_left,16200
all,confirmation,authoritarian_right,63000
model::gemma-3-1b-it,confirmation,authoritarian_right,5250
family::Gemma-3::standard,confirmation,authoritarian_right,21000
all,discovery,authoritarian_right,48600
model::gemma-3-1b-it,discovery,authoritarian_right,4050
family::Gemma-3::standard,discovery,authoritarian_right,16200
model::gemma-3-4b-it,confirmation,libertarian_left,5250
model::gemma-3-4b-it,discovery,libertarian_left,4050
model::gemma-3-4b-it,confirmation,libertarian_right,5250
model::gemma-3-4b-it,discovery,libertarian_right,4050
model::gemma-3-4b-it,confirmation,authoritarian_left,5250
model::gemma-3-4b-it,discovery,authoritarian_left,4050
model::gemma-3-4b-it,confirmation,authoritarian_right,5250
model::gemma-3-4b-it,discovery,authoritarian_right,4050
model::gemma-3-12b-it,confirmation,libertarian_left,5250
model::gemma-3-12b-it,discovery,libertarian_left,4050
model::gemma-3-12b-it,confirmation,libertarian_right,5250
model::gemma-3-12b-it,discovery,libertarian_right,4050
model::gemma-3-12b-it,confirmation,authoritarian_left,5250
model::gemma-3-12b-it,discovery,authoritarian_left,4050
model::gemma-3-12b-it,confirmation,authoritarian_right,5250
model::gemma-3-12b-it,discovery,authoritarian_right,4050
model::gemma-3-27b-it,confirmation,libertarian_left,5250
model::gemma-3-27b-it,discovery,libertarian_left,4050
model::gemma-3-27b-it,confirmation,libertarian_right,5250
model::gemma-3-27b-it,discovery,libertarian_right,4050
model::gemma-3-27b-it,confirmation,authoritarian_left,5250
model::gemma-3-27b-it,discovery,authoritarian_left,4050
model::gemma-3-27b-it,confirmation,authoritarian_right,5250
model::gemma-3-27b-it,discovery,authoritarian_right,4050
model::Qwen3-4B_no_think,confirmation,libertarian_left,5250
family::Qwen3::no_think,confirmation,libertarian_left,21000
model::Qwen3-4B_no_think,discovery,libertarian_left,4050
family::Qwen3::no_think,discovery,libertarian_left,16200
model::Qwen3-4B_no_think,confirmation,libertarian_right,5250
family::Qwen3::no_think,confirmation,libertarian_right,21000
model::Qwen3-4B_no_think,discovery,libertarian_right,4050
family::Qwen3::no_think,discovery,libertarian_right,16200
model::Qwen3-4B_no_think,confirmation,authoritarian_left,5250
family::Qwen3::no_think,confirmation,authoritarian_left,21000
model::Qwen3-4B_no_think,discovery,authoritarian_left,4050
family::Qwen3::no_think,discovery,authoritarian_left,16200
model::Qwen3-4B_no_think,confirmation,authoritarian_right,5250
family::Qwen3::no_think,confirmation,authoritarian_right,21000
model::Qwen3-4B_no_think,discovery,authoritarian_right,4050
family::Qwen3::no_think,discovery,authoritarian_right,16200
model::Qwen3-8B_no_think,confirmation,libertarian_left,5250
model::Qwen3-8B_no_think,discovery,libertarian_left,4050
model::Qwen3-8B_no_think,confirmation,libertarian_right,5250
model::Qwen3-8B_no_think,discovery,libertarian_right,4050
model::Qwen3-8B_no_think,confirmation,authoritarian_left,5250
model::Qwen3-8B_no_think,discovery,authoritarian_left,4050
model::Qwen3-8B_no_think,confirmation,authoritarian_right,5250
model::Qwen3-8B_no_think,discovery,authoritarian_right,4050
model::Qwen3-14B_no_think,confirmation,libertarian_left,5250
model::Qwen3-14B_no_think,discovery,libertarian_left,4050
model::Qwen3-14B_no_think,confirmation,libertarian_right,5250
model::Qwen3-14B_no_think,discovery,libertarian_right,4050
model::Qwen3-14B_no_think,confirmation,authoritarian_left,5250
model::Qwen3-14B_no_think,discovery,authoritarian_left,4050
model::Qwen3-14B_no_think,confirmation,authoritarian_right,5250
model::Qwen3-14B_no_think,discovery,authoritarian_right,4050
model::Qwen3-32B_no_think,confirmation,libertarian_left,5250
model::Qwen3-32B_no_think,discovery,libertarian_left,4050
model::Qwen3-32B_no_think,confirmation,libertarian_right,5250
model::Qwen3-32B_no_think,discovery,libertarian_right,4050
model::Qwen3-32B_no_think,confirmation,authoritarian_left,5250
model::Qwen3-32B_no_think,discovery,authoritarian_left,4050
