ideology,alignment_transition,n
authoritarian_left,abliteration_harm,971
authoritarian_left,abliteration_rescue,1442
authoritarian_left,both_aligned,10410
authoritarian_left,both_unaligned,5477
authoritarian_left,not_comparable,300
authoritarian_right,abliteration_harm,824
authoritarian_right,abliteration_rescue,885
authoritarian_right,both_aligned,13556
authoritarian_right,both_unaligned,3035
authoritarian_right,not_comparable,300
base,not_comparable,18600
centrism,not_comparable,18600
libertarian_left,abliteration_harm,930
libertarian_left,abliteration_rescue,871
libertarian_left,both_aligned,14192
libertarian_left,both_unaligned,2307
libertarian_left,not_comparable,300
libertarian_right,abliteration_harm,1046
libertarian_right,abliteration_rescue,753
libertarian_right,both_aligned,12514
libertarian_right,both_unaligned,3987
libertarian_right,not_comparable,300
