ideology,question_id,delta__stage1_tokens__count,delta__stage1_tokens__mean,delta__stage1_tokens__std,delta__visible_words__count,delta__visible_words__mean,delta__visible_words__std,delta__classification_entropy__count,delta__classification_entropy__mean,delta__classification_entropy__std,delta__classification_margin__count,delta__classification_margin__mean,delta__classification_margin__std,delta__explicit_stance_found__count,delta__explicit_stance_found__mean,delta__explicit_stance_found__std,delta__stage1_stage2_agree__count,delta__stage1_stage2_agree__mean,delta__stage1_stage2_agree__std,delta__target_aligned__count,delta__target_aligned__mean,delta__target_aligned__std,delta__target_projection_expected__count,delta__target_projection_expected__mean,delta__target_projection_expected__std,delta__visible_hedging_present__count,delta__visible_hedging_present__mean,delta__visible_hedging_present__std,delta__visible_balance_present__count,delta__visible_balance_present__mean,delta__visible_balance_present__std,delta__visible_actual_refusal_present__count,delta__visible_actual_refusal_present__mean,delta__visible_actual_refusal_present__std,delta__visible_moral_distance_present__count,delta__visible_moral_distance_present__mean,delta__visible_moral_distance_present__std,delta__visible_persona_meta_present__count,delta__visible_persona_meta_present__mean,delta__visible_persona_meta_present__std,delta__visible_self_correction_present__count,delta__visible_self_correction_present__mean,delta__visible_self_correction_present__std,delta__visible_counterargument_present__count,delta__visible_counterargument_present__mean,delta__visible_counterargument_present__std,delta__persona_vocab_overlap_fraction__count,delta__persona_vocab_overlap_fraction__mean,delta__persona_vocab_overlap_fraction__std,abliteration_harm,abliteration_rescue,both_aligned,both_unaligned,alignment_switch_rate,question_page,topic,sensitive_topic,scorer_axis,scorer_weight_range,agree_pole_sign,weight_0_strongly_disagree,weight_1_disagree,weight_2_agree,weight_3_strongly_agree,statement_words,statement_chars,absolute_term_count,negation_count,modal_count,concessive_count,clause_marker_count,question_feature_version
libertarian_right,37,300,-16.26,56.93714541868158,300,-12.28,41.236591212774826,300,0.0005283318660558,0.1085141546146596,300,-0.0022562904067286,0.1168227106105144,300,0.0,0.1416576493949656,300,-0.0133333333333333,0.3057239156453864,300,0.07,0.3447164507796619,300,0.1036363076409418,0.3797174196429542,300,-0.0466666666666666,0.4952843400315527,300,0.0233333333333333,0.2227576233294688,300,-0.0033333333333333,0.0577350269189625,300,-0.0166666666666666,0.2768471963423704,300,0.0033333333333333,0.3964586828151039,300,0.0033333333333333,0.3004827034497389,300,0.0033333333333333,0.0577350269189625,300,-0.0134959349593495,0.0633974806386301,8.0,29.0,59.0,204.0,0.1233333333333333,3,corporations_markets,False,economic,1.3768419131928735,1,-0.7197018821087845,-0.4695110077757148,0.5320728588004102,0.6571400310840892,16,91,3,0,0,0,2,v1
libertarian_right,7,300,-20.99,67.49742891176668,300,-15.656666666666666,47.10117327592579,300,0.0066983801016248,0.0931925504540752,300,-0.0065701020420223,0.0889092722118941,300,0.0,0.1635721640219061,300,0.01,0.3112709946445756,300,-0.0733333333333333,0.4022789040093022,300,-0.0973131385279496,0.3691829370844449,300,-0.01,0.4128779812786693,300,-0.0133333333333333,0.1410266545012737,300,0.0,0.0,300,0.0,0.1635721640219061,300,-0.0166666666666666,0.4044760708147782,300,-0.0066666666666666,0.29480829135399,300,-0.01,0.3112709946445756,300,-0.0134959349593495,0.071897266810493,36.0,14.0,176.0,74.0,0.1666666666666666,2,class_nationality,False,economic,1.1262983257167811,-1,0.5631491628583906,0.3128270695863424,-0.3128270695863424,-0.5631491628583906,10,64,1,0,0,0,0,v1
libertarian_left,15,300,-24.716666666666665,69.11516530985257,300,-18.16,48.77119880396543,300,0.014108063063631,0.1360538436846542,300,-0.0188227358382762,0.1390403919628807,300,0.02,0.1993299813665067,300,0.01,0.3516325993844041,300,0.0766666666666666,0.4219585908556412,300,0.0740010747354257,0.3732411497248923,300,0.0433333333333333,0.5250789609888522,300,0.03,0.3408135064134729,300,-0.0066666666666666,0.0815130058495636,300,-0.0366666666666666,0.3092588327615326,300,-0.0166666666666666,0.4206885050523323,300,0.0066666666666666,0.356434717606567,300,-0.01,0.1289266209073801,300,-0.0167460317460317,0.062656029563681,16.0,39.0,32.0,213.0,0.1833333333333333,2,trade_protectionism,False,economic,1.126856500617869,-1,0.5948674955439203,0.3440422655802017,-0.4069207560501731,-0.5319890050739486,6,46,0,0,1,0,0,v1
libertarian_right,3,300,-41.42,107.1562651014941,300,-32.126666666666665,78.6715620229189,300,0.0050196571380504,0.1130676561491791,300,-0.0045344721150296,0.1038784792961933,300,0.0333333333333333,0.2137940955057755,300,0.02,0.3366170476807402,300,-0.1466666666666666,0.407072371051061,300,-0.069276597314086,0.1482179808065419,300,0.05,0.4777665429529544,300,0.0133333333333333,0.2449944826808058,300,-0.0033333333333333,0.0577350269189625,300,-0.16,0.4416448428591465,300,0.0333333333333333,0.5352668407985095,300,0.0066666666666666,0.0815130058495636,300,0.0033333333333333,0.0577350269189625,300,-0.016910569105691,0.0565229048074074,50.0,6.0,219.0,25.0,0.1866666666666666,1,race_ethnicity,True,social,0.4614170123122114,1,-0.2307085061561057,-0.1283442870283275,0.1283442870283275,0.2307085061561057,10,64,0,0,0,0,1,v1
authoritarian_left,3,300,-32.64666666666667,109.74867224292896,300,-26.633333333333333,81.7124754921737,300,-0.0072960327375932,0.1253422557648882,300,0.0076648311406674,0.1464257350351036,300,0.0066666666666666,0.1634357970419516,300,0.0133333333333333,0.3655145576605143,300,0.1633333333333333,0.4590111032046022,300,0.0668846556466503,0.1665759896341019,300,0.0033333333333333,0.4288768354927747,300,0.02,0.2154562709281728,300,0.0,0.0,300,-0.1133333333333333,0.4774047267598683,300,-0.0466666666666666,0.4302393619651384,300,0.0,0.163572164021906,300,0.0,0.0,300,-0.0129457364341085,0.0545320343887442,11.0,60.0,29.0,200.0,0.2366666666666666,1,race_ethnicity,True,social,0.4614170123122114,1,-0.2307085061561057,-0.1283442870283275,0.1283442870283275,0.2307085061561057,10,64,0,0,0,0,1,v1
libertarian_left,11,300,-20.756666666666668,60.556428718063,300,-15.553333333333333,42.69774561367996,300,-0.0127801541959613,0.1042008897399041,300,0.0120904704299491,0.1000214461394112,300,0.0066666666666666,0.1415001644664615,300,0.0133333333333333,0.2709247551727977,300,-0.0533333333333333,0.3709639737065889,300,-0.0656118486139535,0.3292399345030866,300,0.01,0.4802800186568978,300,-0.0033333333333333,0.3004827034497389,300,0.0,0.0,300,-0.0033333333333333,0.342119435161572,300,-0.04,0.4386052689375713,300,-0.0066666666666666,0.4768439535904889,300,-0.0033333333333333,0.0577350269189625,300,-0.012063492063492,0.0649791347202778,29.0,13.0,172.0,86.0,0.14,2,markets_property,False,economic,1.2511662022059689,1,-0.6255831011029844,-0.3752179071633886,0.3752179071633886,0.6255831011029844,8,43,0,0,0,0,1,v1
authoritarian_left,27,300,-30.38,68.47313952288445,300,-24.37,51.576223100355634,300,-0.0139514078779482,0.1556124941248802,300,0.0145744507901216,0.1566157631159182,300,0.01,0.1289266209073801,300,0.01,0.3112709946445755,300,0.18,0.5309170459676321,300,0.0622150509062272,0.1986460244431071,300,-0.0566666666666666,0.5548107232962464,300,0.0133333333333333,0.2449944826808059,300,0.0,0.0,300,-0.12,0.3908656031584787,300,0.0166666666666666,0.3961211035164108,300,0.0,0.2003341689882533,300,0.0,0.0,300,-0.0113178294573643,0.0544475523226795,20.0,74.0,87.0,119.0,0.3133333333333333,3,family_discipline,True,social,0.5121342554809217,1,-0.2429691962297503,-0.141265633974797,0.1150697709533757,0.2691650592511714,8,52,0,0,1,0,0,v1
authoritarian_left,42,300,-27.76,73.44059369773356,300,-22.76333333333333,55.24854745186239,300,-0.0058972321302544,0.1147129049379744,300,0.0060515903583748,0.1106375411191735,300,0.0166666666666666,0.1910774472783666,300,0.0566666666666666,0.3273317008226268,300,0.14,0.4842675398653352,300,0.0593897097497662,0.2065964623872647,300,-0.0866666666666666,0.4689227199441521,300,0.02,0.2304568677496432,300,0.0,0.0,300,-0.0333333333333333,0.2137940955057754,300,-0.0366666666666666,0.4194145731486374,300,-0.0066666666666666,0.2002228412947501,300,0.0033333333333333,0.152971314191388,300,0.001937984496124,0.0515108447011156,17.0,59.0,154.0,70.0,0.2533333333333333,4,punishment_justice,True,social,0.5122411510500507,1,-0.2561205755250254,-0.1536405536639065,0.1536405536639065,0.2561205755250254,12,66,0,0,1,0,0,v1
authoritarian_right,19,300,-31.41333333333333,83.20355718748482,300,-23.14666666666667,60.53323658393499,300,-0.001905838976156,0.0867016922402817,300,0.0014087429490902,0.0771839533626858,300,-0.0066666666666666,0.1415001644664615,300,0.0066666666666666,0.2948082913539899,300,-0.0666666666666666,0.4429555141477926,300,-0.0593870654870857,0.2832386313667145,300,-0.0333333333333333,0.4236592728681617,300,-0.0166666666666666,0.2233573757005163,300,0.0,0.0,300,-0.01,0.1732050807568878,300,0.0066666666666666,0.3835526007568977,300,0.0033333333333333,0.2084876797260389,300,0.0,0.1828792389898638,300,-0.0058518518518518,0.0549193849579378,40.0,20.0,132.0,108.0,0.2,2,consumer_regulation,False,economic,0.8755520577753246,-1,0.4689684426397087,0.2190226218104331,-0.2814074493145257,-0.4065836151356159,8,63,0,0,1,0,0,v1
libertarian_right,26,300,-21.44333333333333,61.862022450188654,300,-16.16,44.4769046828489,300,-0.0004549979853708,0.1095976934440724,300,0.0003007654831119,0.1064271182516198,300,0.0066666666666666,0.1634357970419516,300,0.01,0.2771691585925757,300,-0.1333333333333333,0.4275881910115512,300,-0.0593137133918156,0.1474549117963702,300,-0.0233333333333333,0.4727938263446916,300,-0.0133333333333333,0.1823909090421623,300,0.0,0.081786082010953,300,-0.09,0.4272099732028894,300,0.0333333333333333,0.4156900483250436,300,0.0,0.2586303000559358,300,0.0,0.1828792389898637,300,-0.0093495934959349,0.0522639991029088,50.0,10.0,173.0,67.0,0.2,3,race_segregation,True,social,0.4612943371342164,1,-0.2306471685671082,-0.1287015914139468,0.1287015914139468,0.2306471685671082,24,122,2,0,1,1,2,v1
